timestamp_ms,currency,ta_signal,signal
1774616399999,SOL,-1,SELL
1774619999999,SOL,-1,SELL
1774623599999,SOL,-1,SELL
1774627199999,SOL,-1,SELL
1774630799999,SOL,-1,SELL
1774634399999,SOL,-1,SELL
1774637999999,SOL,-1,SELL
1774641599999,SOL,-1,SELL
1774645199999,SOL,-1,SELL
1774648799999,SOL,0,HOLD
1774652399999,SOL,0,HOLD
1774655999999,SOL,0,HOLD
1774659599999,SOL,0,HOLD
1774663199999,SOL,0,HOLD
1774666799999,SOL,0,HOLD
1774670399999,SOL,0,HOLD
1774673999999,SOL,0,HOLD
1774677599999,SOL,0,HOLD
1774681199999,SOL,0,HOLD
1774684799999,SOL,0,HOLD
1774688399999,SOL,0,HOLD
1774691999999,SOL,0,HOLD
1774695599999,SOL,0,HOLD
1774699199999,SOL,0,HOLD
1774702799999,SOL,0,HOLD
1774706399999,SOL,0,HOLD
1774709999999,SOL,0,HOLD
1774713599999,SOL,0,HOLD
1774717199999,SOL,0,HOLD
1774720799999,SOL,0,HOLD
1774724399999,SOL,0,HOLD
1774727999999,SOL,0,HOLD
1774731599999,SOL,0,HOLD
1774735199999,SOL,0,HOLD
1774738799999,SOL,0,HOLD
1774742399999,SOL,-1,SELL
1774745999999,SOL,-1,SELL
1774749599999,SOL,-1,SELL
1774753199999,SOL,-1,SELL
1774756799999,SOL,0,HOLD
1774760399999,SOL,0,HOLD
1774763999999,SOL,0,HOLD
1774767599999,SOL,0,HOLD
1774771199999,SOL,0,HOLD
1774774799999,SOL,0,HOLD
1774778399999,SOL,-1,SELL
1774781999999,SOL,-1,SELL
1774785599999,SOL,0,HOLD
1774789199999,SOL,0,HOLD
1774792799999,SOL,-1,SELL
1774796399999,SOL,-1,SELL
1774799999999,SOL,-1,SELL
1774803599999,SOL,-1,SELL
1774807199999,SOL,-1,SELL
1774810799999,SOL,-1,SELL
1774814399999,SOL,-1,SELL
1774817999999,SOL,-1,SELL
1774821599999,SOL,0,HOLD
1774825199999,SOL,-1,SELL
1774828799999,SOL,-1,SELL
1774832399999,SOL,0,HOLD
1774835999999,SOL,0,HOLD
1774839599999,SOL,0,HOLD
1774843199999,SOL,0,HOLD
1774846799999,SOL,0,HOLD
1774850399999,SOL,0,HOLD
1774853999999,SOL,0,HOLD
1774857599999,SOL,0,HOLD
1774861199999,SOL,0,HOLD
1774864799999,SOL,0,HOLD
1774868399999,SOL,0,HOLD
1774871999999,SOL,0,HOLD
1774875599999,SOL,0,HOLD
1774879199999,SOL,0,HOLD
1774882799999,SOL,0,HOLD
1774886399999,SOL,0,HOLD
1774889999999,SOL,0,HOLD
1774893599999,SOL,-1,SELL
1774897199999,SOL,-1,SELL
1774900799999,SOL,-1,SELL
1774904399999,SOL,-1,SELL
1774907999999,SOL,-1,SELL
1774911599999,SOL,-1,SELL
1774915199999,SOL,-1,SELL
1774918799999,SOL,-1,SELL
1774922399999,SOL,-1,SELL
1774925999999,SOL,-1,SELL
1774929599999,SOL,-1,SELL
1774933199999,SOL,-1,SELL
1774936799999,SOL,0,HOLD
1774940399999,SOL,0,HOLD
1774943999999,SOL,-1,SELL
1774947599999,SOL,-1,SELL
1774951199999,SOL,-1,SELL
1774954799999,SOL,-1,SELL
1774958399999,SOL,-1,SELL
1774961999999,SOL,-1,SELL
1774965599999,SOL,-1,SELL
1774969199999,SOL,-1,SELL
1774972799999,SOL,-1,SELL
1774976399999,SOL,-1,SELL
1774979999999,SOL,0,HOLD
1774983599999,SOL,0,HOLD
1774987199999,SOL,0,HOLD
1774990799999,SOL,0,HOLD
1774994399999,SOL,0,HOLD
1774997999999,SOL,0,HOLD
1775001599999,SOL,0,HOLD
1775005199999,SOL,0,HOLD
1775008799999,SOL,0,HOLD
1775012399999,SOL,0,HOLD
1775015999999,SOL,0,HOLD
1775019599999,SOL,0,HOLD
