Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1773666000000,93.78,95.13,93.43,93.68,390863.053,1773669599999,36863159.43394,105662,205132.86,19365256.51741
1773669600000,93.68,94.54,92.37,93.6,521940.608,1773673199999,48664307.91563,143116,207093.575,19308915.61968
1773673200000,93.61,94.35,93.09,93.2,384587.906,1773676799999,36079650.70358,88799,145491.086,13643240.16314
1773676800000,93.2,94.06,93.13,93.81,248258.917,1773680399999,23250531.8751,59733,128769.334,12048406.74264
1773680400000,93.82,94.4,93.7,94.08,150409.15,1773683999999,14138574.27351,55594,90284.592,8487755.17043
1773684000000,94.08,95.09,94.05,94.38,226550.375,1773687599999,21445730.72451,62940,130564.603,12360738.29629
1773687600000,94.39,95.48,94.16,95.21,207797.032,1773691199999,19752776.75256,70587,120776.172,11482076.24101
1773691200000,95.21,95.97,95.06,95.78,158562.836,1773694799999,15159211.51097,46389,91671.606,8764677.70054
1773694800000,95.77,96.88,95.5,96.17,233033.253,1773698399999,22415641.40198,74449,140451.668,13509889.36375
1773698400000,96.17,97.68,96.17,96.37,244973.655,1773701999999,23727867.71945,83604,136979.401,13275071.18009
1773702000000,96.36,96.47,95.41,96.2,185793.961,1773705599999,17818282.89904,49754,86814.157,8327843.10339
1773705600000,96.19,96.95,95.13,95.49,283437.372,1773709199999,27198547.4342,90090,155869.551,14967946.24661
1773709200000,95.49,96.09,94.95,95.72,222433.889,1773712799999,21258376.49607,78114,124457.002,11898730.68159
1773712800000,95.72,95.77,94.88,95.15,103613.227,1773716399999,9867204.60194,39950,49375.91,4702923.79431
1773716400000,95.14,95.29,93.71,94.07,214697.28,1773719999999,20258091.59835,62997,79213.816,7477095.76943
1773720000000,94.07,94.28,93.2,93.8,138298.247,1773723599999,12964588.57994,43438,49687.11,4659148.91971
1773723600000,93.8,94.1,93.36,93.8,82496.31,1773727199999,7736184.05474,34672,36866.722,3457078.91256
1773727200000,93.8,94.3,93.47,93.89,90874.811,1773730799999,8538792.24888,30660,41231.712,3875594.51029
1773730800000,93.9,94.66,93.87,94.44,78265.31,1773734399999,7386481.41762,25163,48522.459,4580293.11479
1773734400000,94.43,94.95,94.29,94.41,84102.321,1773737999999,7959335.98611,33686,45285.288,4287359.93361
1773738000000,94.41,95.09,93.69,93.9,150777.279,1773741599999,14242204.25251,44438,67310.93,6361292.38002
1773741600000,93.9,94.06,93.25,93.57,96721.233,1773745199999,9059234.85448,38517,43852.846,4106890.57661
1773745200000,93.58,93.91,93.4,93.66,82684.117,1773748799999,7750048.08012,31983,46255.149,4335736.70911
1773748800000,93.67,94.08,93.15,93.42,82757.453,1773752399999,7743741.20708,40928,37091.816,3472173.68029
