Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1773867600000,650.23,652.86,649.96,652.61,2503.487,1773871199999,1631390.04554,21111,1703.797,1110223.48386
1773871200000,652.6,652.64,650.46,651.66,1874.315,1773874799999,1220962.36514,19638,963.215,627384.61658
1773874800000,651.66,652.98,650.91,652.27,1693.553,1773878399999,1104188.63997,20565,1070.791,698182.75428
1773878400000,652.28,652.9,650.68,651.48,3078.073,1773881999999,2005960.79042,29072,1769.385,1152990.03515
1773882000000,651.48,652.55,650.51,651.41,3715.41,1773885599999,2420551.1229,26190,1550.779,1010434.66117
1773885600000,651.4,652.34,649.05,650.63,2045.825,1773889199999,1332129.97792,32437,1083.382,705492.95732
1773889200000,650.63,656.4,650.41,652.53,5819.462,1773892799999,3803649.62813,50618,2896.564,1892891.87496
1773892800000,652.53,652.66,648.28,649.53,3065.603,1773896399999,1992088.74664,32730,1706.422,1108720.98691
1773896400000,649.53,650.52,648.35,649.46,1899.012,1773899999999,1233715.22236,24595,1103.943,717195.45455
1773900000000,649.45,650.84,648.12,648.67,4253.506,1773903599999,2761695.51173,37893,2025.336,1314980.6262
1773903600000,648.68,648.79,641.04,645.39,10512.031,1773907199999,6778205.60446,71635,4543.071,2929542.62161
1773907200000,645.39,646.31,643.73,644.43,6885.189,1773910799999,4440537.89506,51754,3378.456,2178558.20433
1773910800000,644.43,648.89,643.85,648.28,7044.016,1773914399999,4551607.05608,57192,3619.939,2339408.40977
1773914400000,648.29,648.71,645.83,645.86,2738.995,1773917999999,1773939.83267,26232,1578.663,1022482.56922
1773918000000,645.87,646.43,643.69,644.08,3690.15,1773921599999,2379428.33249,30302,1852.278,1194360.15397
1773921600000,644.09,644.09,638.14,638.67,7836.624,1773925199999,5026207.72441,59208,2793.722,1791958.34691
1773925200000,638.67,642.06,636.47,641.21,8200.56,1773928799999,5237411.3887,79000,3980.14,2542595.87865
1773928800000,641.22,642.74,635.66,638.12,8129.179,1773932399999,5186826.04072,59915,4589.106,2928489.27818
1773932400000,638.13,640.41,634.35,637.87,6283.878,1773935999999,4002682.98416,58915,3013.125,1919542.80915
