Open_Time_ms,Open,High,Low,Close,Volume,Close_Time_ms,Quote_Asset_Volume,Number_of_Trades,Taker_Buy_Base_Asset_Volume,Taker_Buy_Quote_Asset_Volume
1774710000000,2020.83,2040.26,2018.4,2026.84,14625.4102,1774713599999,29685420.115201,144681,7693.8246,15616775.730502
1774713600000,2026.84,2030.23,2021.68,2024.78,4889.927,1774717199999,9908893.32197,75271,2860.6726,5797104.600652
1774717200000,2024.79,2027.15,2016.5,2020.84,4857.7136,1774720799999,9819152.802173,63776,2329.1282,4708612.261619
1774720800000,2020.84,2024.66,2020.37,2021.8,1630.6404,1774724399999,3298168.754206,31807,934.8212,1890856.54043
1774724400000,2021.79,2022.81,2017.01,2020.56,1332.2694,1774727999999,2691093.436881,25857,679.3632,1372456.834521
1774728000000,2020.57,2026.48,2020.56,2024.59,2446.6779,1774731599999,4952907.155831,33613,1655.0648,3350423.783118
1774731600000,2024.6,2025.56,2006.69,2009.61,5915.671,1774735199999,11919329.670812,64253,2053.7864,4136061.391682
1774735200000,2009.61,2013.14,2005.38,2011.89,4426.194,1774738799999,8896807.385053,62100,2114.1167,4250611.245876
1774738800000,2011.88,2011.88,1989.64,1994.74,9570.7102,1774742399999,19116305.249249,112113,4191.2404,8369544.11829
1774742400000,1994.74,2000.0,1991.52,1999.16,4042.0247,1774745999999,8067244.647703,72829,2072.6484,4137353.289843
1774746000000,1999.16,2007.61,1997.78,2005.08,4379.1952,1774749599999,8772234.945083,72245,2479.3437,4966766.076126
1774749600000,2005.09,2010.55,2002.55,2008.93,3658.554,1774753199999,7339348.661178,58437,1760.7775,3533041.407324
1774753200000,2008.93,2019.65,2007.04,2011.1,4533.4869,1774756799999,9129048.993317,66117,2649.9987,5336028.211524
1774756800000,2011.1,2012.72,2004.23,2005.85,2975.6975,1774760399999,5973679.736785,48362,1185.9901,2381223.942974
1774760400000,2005.84,2007.27,1997.67,2005.31,3321.9747,1774763999999,6651935.072025,63442,1549.1061,3102667.864863
1774764000000,2005.31,2008.33,2000.02,2004.98,2453.5988,1774767599999,4916450.707478,52368,1428.0743,2861273.103673
1774767600000,2004.98,2009.91,2000.04,2006.14,4077.1887,1774771199999,8171457.73175,47940,2291.0485,4591738.766834
1774771200000,2006.14,2007.5,2002.66,2004.26,2585.1682,1774774799999,5183136.512016,39620,1057.7319,2120613.240569
1774774800000,2004.26,2005.42,1994.5,1999.21,5200.9549,1774778399999,10401221.492218,54510,2581.5311,5162654.550472
1774778400000,1999.2,1999.2,1991.9,1995.89,3429.4306,1774781999999,6843158.426112,53130,1788.2735,3568532.852333
1774782000000,1995.9,2008.16,1995.22,2003.78,3852.2694,1774785599999,7717551.326159,70122,2342.6504,4692538.256232
1774785600000,2003.78,2004.9,1997.82,2001.68,2722.399,1774789199999,5449095.733651,44417,1106.9735,2215738.541632
1774789200000,2001.68,2002.14,1983.56,1987.09,9261.1,1774792799999,18427475.92384,101896,3889.5932,7740287.971889
1774792800000,1987.09,2002.35,1983.99,1994.17,6745.9691,1774796399999,13447550.33271,86285,3693.5832,7364333.146765
1774796400000,1994.17,1998.98,1986.32,1992.97,6503.2005,1774799999999,12963372.017719,90484,3803.9597,7584218.038662
1774800000000,1992.98,2003.61,1992.03,1997.82,6490.8616,1774803599999,12973156.378519,91016,3555.4458,7105476.506009
1774803600000,1997.82,2000.21,1987.6,1995.1,4682.23,1774807199999,9331882.23363,73693,2351.6604,4686337.895513
1774807200000,1995.11,2002.0,1991.58,1997.33,3514.9668,1774810799999,7017483.905918,45477,1836.7579,3667163.699288
1774810800000,1997.33,2000.11,1994.36,1995.89,2275.9774,1774814399999,4544719.778595,33081,1360.9701,2717413.758099
1774814400000,1995.89,2009.48,1995.84,2002.5,4264.0169,1774817999999,8539979.681328,52195,2688.8915,5385319.229722
1774818000000,2002.49,2007.24,2001.5,2006.51,2530.3863,1774821599999,5072009.0885,41143,1385.9193,2777997.120181
1774821600000,2006.51,2006.51,1938.82,1973.99,50023.8155,1774825199999,98276952.895705,382849,25156.0863,49403869.328198
1774825200000,1973.99,1994.67,1973.63,1984.64,23202.2715,1774828799999,46039507.807891,308150,13680.2287,27142658.058254
1774828800000,1984.65,2023.73,1980.28,1997.25,27492.0563,1774832399999,55115073.654914,360522,15434.7683,30947299.069193
1774832400000,1997.27,2016.33,1997.19,2010.43,9665.3439,1774835999999,19402810.471346,165557,5732.1668,11506464.28724
1774836000000,2010.44,2043.5,2007.53,2029.93,23530.7528,1774839599999,47711825.232696,216458,13900.5085,28187152.390705
